"Hoher Hirschberg","1174","Nebengipfel","Ostschweiz	Voralpen","CH"
"Hochwang","2535","Hauptgipfel","Graubünden	Hochwangkette","CH"
"Hoch Geissberg","2395","Nebengipfel","Urner Alpen	Sunnig Stöck","CH"
"Hochhus","1926","Nebengipfel","Ostschweiz	Alpstein","CH"
"Hochstollen","2481","Nebengipfel","Urner Alpen	","CH"
"Hoh Brisen","2413","Hauptgipfel","Zentralschweiz	Urner Alpen","CH"
"Hoher Kasten","1791","Nebengipfel","Voralpen	Alpstein","CH"
"Hohgant","2197","Hauptgipfel","Voralpen	","CH"
"Hundwiler Höhi","1306","Hauptgipfel","Ostschweiz	Voralpen","CH"
"Hundstein","2157","Nebengipfel","Ostschweiz	Alpstein","CH"
"Hüser","1951","Hauptgipfel","Ostschweiz	Alpstein","CH"
"Jakobshorn","2590","Nebengipfel","Bündner Alpen	","CH"
"Jungfrau","4158","Hauptgipfel","Berner Alpen	Jungfrau","CH"
"Irchel","694","Nebengipfel","Mittelland	","CH"
"Kamor","1751","Nebengipfel","Ostschweiz	Voralpen","CH"
"Kronberg","1663","Hauptgipfel","Voralpen	Alpstein","CH"
"Lägern","866","Hauptgipfel","Mittelland	","CH"
"Lagginhorn","4010","Hauptgipfel","Walliser Alpen	","CH"
"Leistchamm","2101","Nebengipfel","Churfirsten	Walensee","CH"
"Le Rubli","2285","Nebengipfel","Waadt	Saanenland","CH"
"Les Diablerets","3210","Hauptgipfel","	Wallis/Waadt	Walliser Alpen","CH"
"Liskamm","4527","Hauptgipfel","Wallis/Italien	Walliser Alpen","CH"
"Ludwigshöhe","4341","Nebengipfel","Wallis/Italien	Monte Rosa","CH"
"Marwees","2056","Nebengipfel","Ostschweiz	Alpstein","CH"
"Matterhorn","4478","Hauptgipfel","Wallis/Italien	Walliser Alpen","CH"
"Moleson","2002","Hauptgipfel","Freiburger Alpen	","CH"
"Mönch","4107","Hauptgipfel","Berner Alpen	Jungfraugebiet","CH"
"Montalin","2266","Nebengipfel","Graubünden	Hochwangkette","CH"
"Monte Basòdino","3272","Hauptgipfel","Tessin	Val Bavona","CH"
"Monte Generoso","1701","Hauptgipfel","Tessin	Tambogruppe","CH"
"Monte Leone","3553","Hauptgipfel","Wallis	Lepontinische Alpen","CH"
"Monte San Giorgio","1097","Hauptgipfel","	Kanton Tessin	","CH"
"Monte San Salvatore","912","Hauptgipfel","	Kanton Tessin	","CH"
"Monte Tamaro","1962","Hauptgipfel","Kanton Tessin	Tambogruppe","CH"
"Morgenberghorn","2249","Hauptgipfel","Berner Alpen	","CH"
"Morgenhorn","3623","Nebengipfel","Berner Alpen	Blüemlisalpgruppe","CH"
"Mürtschenstock","2441","Hauptgipfel","Glarner Alpen	Mürtschenstock","CH"
"Mythen, Grosser","1898","Hauptgipfel","Zentralschweiz	Schwyzer Alpen","CH"
"Kleiner Mythen","1811","Hauptgipfel","Zentralschweiz	Schwyzer Alpen","CH"
"Nadelhorn","4327","Nebengipfel","Walliser Alpen	Mischabelgruppe","CH"
"Napf","1408","Hauptgipfel","Emmentaler Alpen","CH"
"Namenlos","2915","Hauptgipfel","Schwyzer Alpen	Glärnisch","CH"
"Nesthorn","3822","Hauptgipfel","Wallis	Aletsch","CH"
"Nidfurner Turm","2661","Nebengipfel","Glarner Alpen	Glärnisch","CH"
"Niederbauen Kulm","1923","Hauptgipfel","Vierwaldstättersee	Urner Alpen","CH"
"Niederhorn","1963","Nebengipfel","Emmentaler Alpen	Güggisgrat","CH"
"Niesen","2362","Hauptgipfel","Berner Alpen	","CH"
"Oberbauenstock","2117","Nebengipfel","Vierwaldstättersee	Urner Alpen","CH"
"Oberalpstock","3328","Hauptgipfel","Uri / Graubünden	Glarner Alpen","CH"
"Oberhorn","2796","Nebengipfel","Graubünden	Signinagruppe","CH"
"Oeschinenhorn","3297","Nebengipfel","Berner Alpen	Blüemlisalpgruppe","CH"
"Ofen","2873","Nebengipfel","Glarner Alpen	Sardona Tektonik-Arena","CH"
"Olmenhorn","3314","Nebengipfel","Wallis	Aletsch","CH"
"Ortstock","2717","Hauptgipfel","Glarner Alpen	","CH"
"Parrotspitze","4432","Nebengipfel","Wallis/Italien	Monte Rosa","CH"
"Pfannenstiel","853","Hauptgipfel","Mittelland	Pfannenstiel","CH"
"Pilatus","2128","Hauptgipfel","Emmentaler Alpen	Pilatus","CH"
"Plattenflue","3013","Nebengipfel","Bündner Alpen	","CH"
"Piz Arblatsch","3203","Nebengipfel","Graubünden	Oberhalbstein","CH"
"Piz Argient","3945","Nebengipfel","	Engadin	Berninagruppe","CH"
"Piz Bernina","4049","Hauptgipfel","	Graubünden	Berninagruppe","CH"
"Piz Beverin","2998","Hauptgipfel","	Graubünden	Adula-Alpen","CH"
"Piz Buin","3312","Hauptgipfel","	Graubünden	Silvretta","CH"
"Piz Caschleglia","2936","Hauptgipfel","	Graubünden	Vorderrhein","CH"
"Piz Curvér","2972","Hauptgipfel","Graubünden	Oberhalbstein","CH"
"Piz Daint","2968","Hauptgipfel","	Graubünden	Val Müstair","CH"
"Piz Dolf","3028","Nebengipfel","	Glarner Alpen	Sardona Tektonik-Arena","CH"
"Piz Ela","3339","Hauptgipfel","	Graubünden	Albulatal","CH"
"Piz Fess","2880","Hauptgipfel","	Graubünden	Signinagruppe","CH"
"Piz Forbesch","3262","Hauptgipfel","Graubünden	Oberhalbstein","CH"
"Piz Kesch","3418","Hauptgipfel","Graubünden	Adula","CH"
"Piz Morteratsch","3751","Hauptgipfel","Engadin	Berninagruppe","CH"
"Piz Mitgel","3159","Hauptgipfel","Graubünden	Oberhalbstein","CH"
"Piz Mundaun","2064","Nebengipfel","Graubünden	Mundaun-Kette","CH"
"Piz Nair","3010","Nebengipfel","Graubünden	Nationalpark","CH"
"Piz Palü","3900","Nebengipfel","Graubünden	Berninagruppe","CH"
"Piz Riein","2762","Nebengipfel","Graubünden	Signinagruppe","CH"
"Piz Roseg","3937","Hauptgipfel","Engadin	Berninagruppe","CH"
"Piz Segnas","3099","Hauptgipfel","Glarner Alpen	Sardona Tektonik-Arena","CH"
"Piz Sardona","3056","Nebengipfel","Glarner Alpen	Sardona Tektonik-Arena","CH"
"Piz Sezner","2309","Nebengipfel","Graubünden	Mundaun-Kette","CH"
"Piz Signina","2848","Nebengipfel","Graubünden	Signinagruppe","CH"
"Piz Surlej","2848","Hauptgipfel","Graubünden	Engadin","CH"
"Piz Tarantschun","2769","Nebengipfel","Adula-Alpen	Splügener Kalkberge","CH"
"Piz Terri","3149","Hauptgipfel","Adula-Alpen	Greina","CH"
"Piz Toissa","2657","Hauptgipfel","Graubünden	Oberhalbstein","CH"
"Piz Tomül","2954","Hauptgipfel","Graubünden	Splügener Kalkberge","CH"
"Piz Uccello","2724","Nebengipfel","Adula-Alpen	","CH"
"Piz Varuna","3453","Nebengipfel","Graubünden	Berninagruppe","CH"
"Piz Zupò","3996","Hauptgipfel","Engadin	Berninagruppe","CH"
"Pizzo Badile","3308","Nebengipfel","Bergell	Bondascagruppe","CH"
"Pizzo Campo Tencia","3072","Hauptgipfel","Tessiner Alpen	","CH"
"Pizzo Tambo /Tambohorn","3279","Hauptgipfel","Graubünden / Provinz Sondrio	Tambogruppe","CH"
"Planggenstock","1675","Nebengipfel","Voralpen	Walensee","CH"
"Rautispitz","2283","Hauptgipfel","Glarner Alpen	","CH"
"Regitzer Spitz","1135","Hauptgipfel","Rätische Alpen	Rätikon","CH"
"Rheinwaldhorn","3402","Hauptgipfel","Adula-Alpen	","CH"
"Rienzenstock","2962","Hauptgipfel","Urner Alpen	","CH"
"Rigi-Kulm","1798","Hauptgipfel","Voralpen	Rigi","CH"
"Rinderhorn","3453","Hauptgipfel","Walliser Alpen	Gemmi","CH"
"Rossberg","1580","Hauptgipfel","	Voralpen	","CH"
"Salbitschijen","2981","Nebengipfel","Urner Alpen	","CH"
"Säntis","2502","Hauptgipfel","Appenzeller Alpen	Alpstein","CH"
"Schäfler","1924","Nebengipfel","Appenzeller Alpen	Alpstein","CH"
"Wildhuser Schafberg","2373","Nebengipfel","Toggenburg	Alpstein","CH"
"Gross Schärhorn","3295","Hauptgipfel","Urner Alpen	Schächental","CH"
"Schesaplana","2964","Hauptgipfel","Graubünden / Vorarlberg	Rätikon","CH"
"Schibenstoll","2236","Nebengipfel","Walensee	Churfirsten","CH"
"Schiahorn","2709","Nebengipfel","Bündner Alpen	","CH"
"Schilthorn","2970","Hauptgipfel","Berner Alpen	","CH"
