"Hoher Meißner","Kasseler Kuppe","753,6","Hessen"
"Hohe Schrecke","Wetzelshain","369,5","Thüringen"
"Holsteinische Schweiz","Bungsberg","168","Schleswig-Holstein"
"Holzberg","Holzberg","444,5","Niedersachsen"
"Homburgwald","namenlose Kuppe","406,1","Niedersachsen"
"Hörselberge","Großer Hörselberg","484,2","Thüringen"
"Hube","Fuchshöhlenberg","346,2","Niedersachsen"
"Hüggel","Hüggel","225,6","Niedersachsen"
"Hümmling","Windberg","73","Niedersachsen"
"Hunsrück","Erbeskopf","816,32","Rheinland-Pfalz"
"Hüttener Berge","Scheelsberg","105,8","Schleswig-Holstein"
"Huy","Buchenberg","314,8","Sachsen-Anhalt"
"Idarwald","An den zwei Steinen","766,2","Rheinland-Pfalz"
"Innerstebergland","Griesberg","358,9","Niedersachsen"
"Ith","Lauensteiner Kopf","439","Niedersachsen"
"Kaiserstuhl","Totenkopf","556,6","Baden-Württemberg"
"Karwendel","Östliche Karwendelspitze","2.538","Bayern"
"Kaufunger Wald","Bilstein","641,2","Hessen"
"Kellenberg","Kellenberg","77","Niedersachsen"
"Kellerwald","Wüstegarten","675,3","Hessen"
"Kiffing","Heuberg","344,1","Hessen"
"Kleiner Deister","Wolfsköpfe","345,7","Niedersachsen"
"Kleiner Odenwald","Königstuhl","567,8","Baden-Württemberg"
"Kleiner Thüringer Wald","Schneeberg","692,4","Thüringen"
"Knüllgebirge","Eisenberg","635,5","Hessen"
"Königshainer Berge","Kämpferberge","415,2","Sachsen"
"Kühlung","Diedrichshagener Berg","129,8","Mecklenburg-Vorpommern"
"Külf","namenlose Kuppe","260","Niedersachsen"
"Kyffhäuser","Kulpenberg","473,6","Thüringen"
"Lahnberge","Ortenberg","380","Hessen"
"Landrücken","Frauenstein","595,6","Hessen"
"Lange Berge","Buchberg","527,2","Bayern"
"Lausitzer Bergland","Valtenberg","586,6","Sachsen"
"Laußnitzer Heide","Hinterer Buchberg","254,1","Sachsen"
"Lattengebirge","Karkopf","1738","Bayern"
"Leinebergland","Bloße Zelle","480,4","Niedersachsen"
"Lennegebirge","Homert","656,1","Nordrhein-Westfalen"
"Lichtenberge","Adlershorst","254,2","Niedersachsen"
"Limpurger Berge","Altenberg","564,7","Baden-Württemberg"
"Lingener Höhe","Windmühlenberg","90","Niedersachsen"
"Lipper Bergland","Köterberg","495,8","Niedersachsen, Nordrhein-Westfalen"
"Lohberge","Brunsberg","129","Niedersachsen"
"Löwensteiner Berge","Raitelberg","561,0","Baden-Württemberg"
"Lüneburger Heide","Wilseder Berg","169,2","Niedersachsen"
"Lützelsoon","Womrather Höhe","599,1","Rheinland-Pfalz"
"Mainhardter Wald","Hohe Brach","586,4","Baden-Württemberg"
"Marburger Rücken","Vogelheerd","369,8","Hessen"
"Märkische Schweiz","Krugberg","129,1","Brandenburg"
"Meller Berge","Meller Berg","219","Niedersachsen"
"Moselberge","namenlose Kuppe","434,1","Rheinland-Pfalz"
"Müggelberge","Großer Müggelberg","115,4","Berlin"
"Murrhardter Wald","Hohenstein","572","Baden-Württemberg"
"Muskauer Faltenbogen","Hoher Berg","183,7","Brandenburg, Sachsen"
"Nesselberg","Grasberg","378,2","Niedersachsen"
"Nördliche Kalkalpen","Zugspitze","2962,06","Bayern"
"Nordpfälzer Bergland","Donnersberg","686,5","Rheinland-Pfalz"
"Oberes Eichsfeld","Höheberg","520,6","Thüringen"
"Oberland","Pinneberg","61,3","Schleswig-Holstein"
"Oberpfälzer Wald","Gibacht","938","Bayern"
"Odenwald","Katzenbuckel","626,0","Baden-Württemberg"
"Oderwald","Hungerberg","205","Niedersachsen"
"Ohmgebirge","Birkenberg","533,4","Thüringen"
"Osburger Hochwald","Rösterkopf","708,1","Rheinland-Pfalz"
"Osnabrücker Hügelland","Hesterbrink (Moselerberg)","232,5","Niedersachsen"
"Osterwald","Fast","419,2","Niedersachsen"
"Osterzgebirge","Kahleberg","905,1","Sachsen"
"Pfälzerwald","Kalmit","672,6","Rheinland-Pfalz"
"Rammert","Hohwacht","590,0","Baden-Württemberg"
"Rauensche Berge","namenlose Kuppe","153,8","Brandenburg"
"Ravensberger Mulde","Steinegge","255,5","Nordrhein-Westfalen"
